teamid,season,leagueid,player,num,position,height,weight,birth_date,age,exp,school,player_id,first_name,last_name,team,gp,min,catch_shoot_pts,catch_shoot_fgm,catch_shoot_fga,catch_shoot_fg_pct,catch_shoot_fg3m,catch_shoot_fg3a,catch_shoot_fg3_pct,catch_shoot_efg_pct,catch_shoot_pts_tot,blk,stl,fgm_defend_rim,fga_defend_rim,fgp_defend_rim,blk_tot,dvs,dpp,dtp,drives_fg_pct,pts_48,dpp_tot,dvs_tot,pass,ast,ast_ft,ast_sec,ast_pot,pts_crt,pts_crt_48,ast_tot,pull_ups_pts,pull_ups_fgm,pull_ups_fga,pull_ups_fg_pct,pull_ups_fg3m,pull_ups_fg3a,pull_ups_fg3_pct,pull_ups_efg_pct,pull_ups_pts_tot,reb,reb_chance,reb_col_pct,reb_contested,reb_uncontested,reb_uncontested_pct,reb_tot,oreb,oreb_chance,oreb_col_pct,oreb_contested,oreb_uncontested,oreb_uncontested_pct,dreb,dreb_chance,dreb_col_pct,dreb_contested,dreb_uncontested,dreb_uncontested_pct,shooting_pts,pts_drive,fgp_drive,pts_close,fgp_close,pts_catch_shoot,fgp_catch_shoot,pts_pull_up,fgp_pull_up,fga_drive,fga_close,fga_catch_shoot,fga_pull_up,shooting_efg_pct,cfgm,cfga,cfgp,ufgm,ufga,ufgp,cfg3m,cfg3a,cfg3p,ufg3m,ufg3a,ufg3p,dist,av_spd,dist_pg,dist_48,dist_off,dist_def,av_spd_off,av_spd_def,tch,fc_tch,top,cl_tch,el_tch,pts,pts_tch,pts_hcct,tch_tot
1610612750,2014-15,00,Kevin Garnett,21,F-C,83,253,1976-05-19T07:00:00.000Z,39,19,Farragut Academy HS (CHI),708,Kevin,Garnett,MIN,5,19.6,4.4,2.2,3.4,0.647,0,0.2,0,0.647,22,0.8,1,1.8,3.8,0.474,4,0.4,0,0,,0,0,2,34.2,1.6,0.6,0.4,3,4.2,10.3,8,1.6,0.8,2,0.4,0,0,,0.4,8,5.2,8.2,.634,0.6,4.6,.115,26,0.4,0.4,1.000,0.2,0.2,.500,4.8,7.8,.615,0.4,4.4,.083,6.8,0.2,0.5,1.8,0.423,2.6,0.462,1.3,0.424,0.1,1.7,2.8,1.6,0.456,0,0,,0,0,,0,0,,0,0,,6.7,4.1,1.3,3.3,3.6,3.1,0,0,42.6,22.2,0.8,3,2.4,7.6,0.178,0.342,213
1610612747,2014-15,00,Kobe Bryant,24,G,78,212,1978-08-23T07:00:00.000Z,36,18,Lower Merion HS (PA),977,Kobe,Bryant,LAL,35,34.6,2.7,1.1,3.9,0.279,0.6,2.2,0.26,0.353,96,0.2,1.3,1.3,2.4,0.554,7,5.9,3.9,6.8,0.414,5.5,138,205,37.7,5.6,0.6,1.1,11.8,12.8,17.8,197,8.3,3.7,10.4,0.36,0.8,2.7,0.305,0.4,291,5.7,8.7,.652,1.5,4.2,.261,199,0.7,1.7,.441,0.6,0.2,.769,4.9,7,.703,0.9,4,.185,22.3,3.9,0.414,1.1,0.429,2.7,0.279,8.3,0.36,2.8,0.8,3.9,10.4,0.411,0,0,,0,0,,0,0,,0,0,,77,3.8,2.2,3.1,42.4,34.5,0,0,66.8,59.7,5.2,1.6,4.2,22.3,0.334,0.374,2339
1610612759,2014-15,00,Tim Duncan,21,F,83,250,1976-04-25T08:00:00.000Z,39,17,Wake Forest,1495,Tim,Duncan,SAS,77,29,1.3,0.6,1.7,0.38,0,0.1,0.5,0.388,100,1.9,0.8,4.3,9.1,0.469,150,0.4,0.3,0.4,0.563,0.4,20,27,43.3,3,0.3,0.6,5.1,6.8,11.2,230,0.7,0.3,1.1,0.31,0,0,0,0.31,52,9.1,14.3,.639,3.9,5.3,.424,704,2.2,3.9,.564,1.7,0.5,.754,6.9,10.4,.667,2.2,4.7,.318,13.9,0.3,0.563,7.3,0.627,1.3,0.38,0.7,0.31,0.2,4.5,1.7,1.1,0.513,0,0,,0,0,,0,0,,0,0,,140.4,3.8,1.8,3,76.4,64,0,0,59.2,37.1,1.6,8,6.4,13.9,0.235,0.375,4558
1610612763,2014-15,00,Vince Carter,15,G-F,78,220,1977-01-26T08:00:00.000Z,38,16,North Carolina,1713,Vince,Carter,MEM,66,16.5,2.7,0.9,3,0.318,0.8,2.7,0.316,0.462,180,0.2,0.7,0.6,1.3,0.464,14,1.4,0.9,1.6,0.415,2.6,60,94,18,1.2,0,0.3,2,2.6,7.5,79,1.2,0.5,1.7,0.304,0.2,0.7,0.25,0.357,82,2,3.8,.532,0.6,1.5,.278,133,0.4,0.8,.529,0.2,0.2,.593,1.6,3,.533,0.3,1.3,.198,5.8,0.9,0.415,0.2,0.667,2.7,0.318,1.2,0.304,0.8,0.1,3,1.7,0.417,0,0,,0,0,,0,0,,0,0,,72.2,4,1.1,3.2,39.6,32.6,0,0,26,19.5,0.7,0.5,1,5.8,0.224,0.298,1714
1610612742,2014-15,00,Dirk Nowitzki,41,F,84,245,1978-06-19T07:00:00.000Z,37,16,Wurzburg Germany,1717,Dirk,Nowitzki,DAL,77,29.6,8,3.4,7.6,0.44,1.3,3.3,0.382,0.522,613,0.4,0.5,3,5.6,0.524,33,0.4,0.3,0.6,0.556,0.5,25,31,36,1.9,0.2,0.4,3.3,4.5,7.3,143,3.3,1.6,3.5,0.46,0.1,0.2,0.438,0.472,257,5.9,9.8,.604,1.9,4,.326,457,0.6,1.1,.543,0.4,0.2,.636,5.4,8.8,.612,1.6,3.8,.293,17.3,0.3,0.556,1.4,0.568,8,0.44,3.3,0.46,0.2,1.1,7.6,3.5,0.508,0,0,,0,0,,0,0,,0,0,,141.4,3.7,1.8,3,76.3,65,0,0,54,33.4,1.2,2,4.2,17.3,0.321,0.519,4156
1610612764,2014-15,00,Paul Pierce,34,F,79,235,1977-10-13T07:00:00.000Z,37,16,Kansas,1718,Paul,Pierce,WAS,73,26.2,4.9,1.7,4.1,0.414,1.5,3.7,0.407,0.598,361,0.3,0.6,1,1.9,0.514,24,2.2,1.5,2.6,0.542,2.7,109,159,21.4,2,0.2,0.4,3.4,4.3,7.9,144,2,1,2.5,0.394,0,0.2,0.067,0.397,143,4,6.2,.645,0.8,3.2,.204,294,0.6,1,.592,0.3,0.3,.511,3.4,5.2,.655,0.5,2.9,.149,11.9,1.5,0.542,0.8,0.595,4.9,0.414,2,0.394,0.8,0.5,4.1,2.5,0.537,0,0,,0,0,,0,0,,0,0,,120.3,3.8,1.6,3,63.6,56.7,0,0,34.2,25.4,1.1,0.9,1.1,11.9,0.347,0.468,2498
1610612741,2014-15,00,Nazr Mohammed,48,C,82,250,1977-09-05T07:00:00.000Z,37,16,Kentucky,1737,Nazr,Mohammed,CHI,23,5.4,0.1,0,0.3,0.125,0,0,,0.125,2,0.2,0.2,0.8,1.4,0.594,5,0,0,0,,0,0,1,6.1,0.1,0,0.1,0.2,0.3,3.1,3,0.1,0,0.1,0.333,0,0,,0.333,2,1.7,2.5,.667,0.7,0.9,.447,38,0.5,0.8,.611,0.3,0.1,.727,1.2,1.7,.692,0.4,0.8,.333,1.2,0,,0.3,0.429,0.1,0.125,0.1,0.333,0,0.3,0.3,0.1,0.433,0,0,,0,0,,0,0,,0,0,,7.9,3.8,0.3,3,4.2,3.7,0,0,8,4,0.2,0.4,0.9,1.2,0.146,0.29,185
1610612737,2014-15,00,Elton Brand,7,F-C,81,254,1979-03-11T08:00:00.000Z,36,15,Duke,1882,Elton,Brand,ATL,36,13.4,1.4,0.7,1.6,0.446,0,0,0,0.446,50,0.7,0.5,2.1,4.6,0.467,25,0.2,0,0.2,0,0.1,1,8,17.6,0.6,0.1,0.1,1.5,1.4,5.2,22,0.2,0.1,0.3,0.3,0,0,,0.3,6,2.8,5,.552,1.1,1.6,.410,100,0.8,1.5,.509,0.6,0.2,.750,2,3.5,.571,0.6,1.4,.278,2.7,0,0,0.7,0.6,1.4,0.446,0.2,0.3,0.1,0.4,1.6,0.3,0.442,0,0,,0,0,,0,0,,0,0,,31.7,3.9,0.9,3.2,17.1,14.6,0,0,21.5,13.1,0.4,1.5,2.4,2.7,0.124,0.204,774
1610612758,2014-15,00,Andre Miller,22,G,74,200,1976-03-19T08:00:00.000Z,39,15,Utah,1889,Andre,Miller,SAC,30,20.7,0.1,0.1,0.2,0.375,0,0.1,0.167,0.438,7,0,0.3,0.3,0.5,0.556,2,4.3,1.9,4.6,0.458,4.3,56,128,39.5,4.7,0.9,0.8,9.2,11,25.5,141,0.7,0.4,0.7,0.5,0,0,0,0.5,36,2.5,3.9,.650,0.5,2,.211,76,0.5,1.1,.500,0.3,0.3,.500,2,2.8,.706,0.3,1.7,.133,3.6,1.5,0.542,0.6,0.842,0.1,0.375,0.7,0.5,1.2,0.4,0.2,0.7,0.546,0,0,,0,0,,0,0,,0,0,,39.7,3.8,1.3,3.1,22,17.7,0,0,49.5,41.3,4.5,1,0.3,5.7,0.116,0.139,1484
1610612739,2014-15,00,Shawn Marion,31,G-F,79,228,1978-05-07T07:00:00.000Z,37,15,Nevada-Las Vegas,1890,Shawn,Marion,CLE,56,19.3,0.8,0.3,0.9,0.3,0.2,0.8,0.286,0.42,42,0.5,0.5,0.8,1.6,0.489,27,0.7,0.6,1,0.464,1.5,34,40,19.7,0.9,0.1,0.4,1.7,2.2,5.5,51,0.4,0.2,0.5,0.4,0,0,0,0.4,24,3.5,5.6,.634,1.3,2.2,.367,197,1.1,1.9,.583,0.8,0.3,.698,2.4,3.7,.660,0.5,1.9,.213,4.9,0.6,0.464,1.6,0.547,0.8,0.3,0.4,0.4,0.5,1.3,0.9,0.5,0.473,0,0,,0,0,,0,0,,0,0,,73.4,4.1,1.3,3.3,39.1,34.3,0,0,26,16.7,0.6,2,0.8,4.9,0.188,0.294,1456
